Authors	Year	Title	Journal	DOI	Oases	lat	long	Country	Reviewer
Mahmoud Faris, Manal Shabaan, Fatma Shaker	2017	Calcareous nannofossil bioevents at the Palaeocene/Eocene boundary in the Kharga Oasis, Western Desert of Egypt	Geologia Croatica	10.4154/gc.2017.13	Kharga oasis	25.45255	30.555723	Egypt	JAHA
Abdelaziz Farouk Mohamed	2020	Comparative study of traditional and modern building techniques in Siwa Oasis, Egypt Case study: Affordable residential building using appropriate building technique	Case Studies in Construction Materials	10.1016/j.cscm.2019.e00311	Siwa	29.206355	25.531078	Egypt	JAHA
Sherif Farouk, Abdelbaset El-Sorogy	2016	Danian/Selandian unconformity in the central and southern Western Desert of Egypt	Journal of African Earth Sciences	10.1016/j.jafrearsci.2014.12.002	Farafra	27.056532	27.962671	Egypt	JAHA
Sherif Farouk, Abdelbaset El-Sorogy	2016	Danian/Selandian unconformity in the central and southern Western Desert of Egypt	Journal of African Earth Sciences	10.1016/j.jafrearsci.2014.12.002	Dakhla	25.520135	29.126163	Egypt	JAHA
Sherif Farouk, Abdelbaset El-Sorogy	2016	Danian/Selandian unconformity in the central and southern Western Desert of Egypt	Journal of African Earth Sciences	10.1016/j.jafrearsci.2014.12.002	Kharga oasis	25.45255	30.555723	Egypt	JAHA
Sherif Farouk, Abdelbaset El-Sorogy	2016	Danian/Selandian unconformity in the central and southern Western Desert of Egypt	Journal of African Earth Sciences	10.1016/j.jafrearsci.2014.12.002	Baris	24.677501	30.603123	Egypt	JAHA
Sherif Farouk, Sreepat Jain	2017	Sea-level changes in the Paleocene (Danian–Thanetian) succession at the Dakhla Oasis, Western Desert, Egypt: implications from benthic foraminifera	Proceedings of the Geologists’ Association	10.1016/j.pgeola.2017.06.006	Dakhla	25.520135	29.126163	Egypt	JAHA
Sherif Farouk, Mohamed A. Khalifa, Mohamed M. Abu El-Hassan, Cesare A. Papazzoni, Fabrizio Frontalini, Rodolfo Coccioni, Amr S. Zaky	2019	Upper Paleocene to lower Eocene microfacies, biostratigraphy, and paleoenvironmental reconstruction in the northern Farafra Oasis,Western Desert (Egypt)	Micropaleontology	10.47894/mpal.65.5.01	Farafra	27.056532	27.962671	Egypt	JAHA
Sherif Farouk, Mohamed A. Khalifa, Mohamed M. Abu El-Hassan, Cesare A. Papazzoni, Fabrizio Frontalini, Rodolfo Coccioni, Amr S. Zaky	2019	Upper Paleocene to lower Eocene microfacies, biostratigraphy, and paleoenvironmental reconstruction in the northern Farafra Oasis,Western Desert (Egypt)	Micropaleontology	10.47894/mpal.65.5.01	Farafra	27.056532	27.962671	Egypt	JAHA
Sherif Farouk, Hatem El-Desoky, Mohamed Heikal, Medhat El-Mahallawy, Ahmed Wahid4	2020	Egyptian Cretaceous clay deposits: Insights on Mineralogy, Geochemistry, and Industrial uses	Arabian Journal of Geosciences	10.1007/s12517-020-05557-7	Bahariya oasis	28.385161	28.910502	Egypt	JAHA
Sherif Farouk, Dmitry A. Ruban, Khaled M. Al-Khatany	2021	Quaternary lacustrine dolostones of Sahara: New geoheritage evidence from the Farafra Oasis (Egypt)	Geological Journal	10.1002/gj.4161	Farafra	27.056532	27.962671	Egypt	JAHA
K. M. Fassieh, M. A. Zaki	2014	A Water Management Model for Toshka Depression	Journal of Appled Mathematics	10.1155/2014/731846	Kharga oasis	25.45255	30.555723	Egypt	JAHA
A. Gaber, E. Ghoneim , F. Khalaf , F. El-Baz	2009	Delineation of paleolakes in the Sinai Peninsula, Egypt, using remote sensing and GIS	Journal of Arid Environments	10.1016/j.jaridenv.2008.08.007	Feiran oasis	28.705856	33.669006	Egypt	JAHA
Ahmed Gaber, Fikry Khalaf, Mohamed Bastawisy, Farouk El-Baz 	2018	Combining satellite image data and field observations to characterize fresh-water carbonates in Kurkur Oasis, Southern Egypt	Journal of African Earth Sciences	10.1016/j.jafrearsci.2017.12.008	Kurkur	23.900671	32.326959	Egypt	JAHA
Mohamed Gad, Kamal Dahab, Hekmat Ibrahim	2018	Applying of a geochemical model on the Nubian sandstone aquifer in Siwa Oasis, Western Desert, Egypt	Environmental Earth Sciences	10.1007/s12665-018-7580-6	Siwa	29.206355	25.531078	Egypt	JAHA
Ahmed Gad, Sahar Mahmoud Abd El Bakey, Sayed Sakr	2020	Concentrations of heavy metals and associated human health risk in unrefined salts of inland hypersaline lakes, Egypt	International Journal of Environmental Analytical Chemistry	10.1080/03067319.2020.1736056	Sitra oasis	28.717266	27.01538	Egypt	JAHA
